mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
829.3000407218933,36.173636046202354,37.3128887017568,2.013151274475289,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8453333333333334,0.874,0.8719573191063688,0.8637635508132341,0.013058785639704496,6,1.0,1.0,1.0,1.0,0.0
242.0006056626638,13.101737925830982,39.62631336847941,5.04170681183877,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9506666666666667,0.956,0.956652217405802,0.9544396280241562,0.002681140918830359,3,0.9811635272545425,0.9814969161526921,0.9808333333333333,0.981164592246856,0.00027090759826122206
823.3657377560934,42.679895511591134,38.754802942276,1.4014364949606057,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8543333333333333,0.8816666666666667,0.877625875291764,0.8712086250972546,0.012046122552422595,4,1.0,1.0,1.0,1.0,0.0
203.50429026285806,22.621591431539336,33.75558749834696,5.440746978194419,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9603333333333334,0.9683333333333334,0.9676558852950984,0.9654408506539217,0.003622134163372889,1,0.9998333055509252,1.0,1.0,0.9999444351836417,7.858051688463119e-05
825.9660018285116,5.077499325905129,41.551600774129234,1.1453547102522632,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.8543333333333333,0.8816666666666667,0.877625875291764,0.8712086250972546,0.012046122552422595,4,1.0,1.0,1.0,1.0,0.0
231.62583541870117,43.314797708931664,33.77517453829447,4.542752889497247,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.961,0.967,0.9676558852950984,0.9652186284316994,0.0029950142752735985,2,1.0,1.0,1.0,1.0,0.0
