mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
39.39736398061117,0.36010864581480256,3.042450428009033,0.08588088200062234,32,5,adam,"{'batch_size': 32, 'epochs': 5, 'optimizer': 'adam'}",0.9396666666666667,0.9466666666666667,0.9473157719239746,0.944549701752436,0.003462981195964634,7,0.9851641940323387,0.9851641940323387,0.9828333333333333,0.9843872404660036,0.0010987782708452632
46.11225986480713,3.501861191402808,3.1346298853556314,0.11010801856451774,32,5,rmsprop,"{'batch_size': 32, 'epochs': 5, 'optimizer': 'rmsprop'}",0.9373333333333334,0.9486666666666667,0.9473157719239746,0.944438590641325,0.005054353912620521,9,0.9833305550925154,0.9833305550925154,0.9855,0.9840537033950104,0.0010226861369953255
79.71176640192668,4.807359019645064,1.6249594688415527,0.5006561423469881,32,10,adam,"{'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}",0.951,0.9536666666666667,0.9609869956652217,0.9552178874439626,0.004222142823198189,1,0.9983330555092516,0.9964994165694282,0.9983333333333333,0.9977219351373376,0.0008644511769360364
79.29458252588908,4.9311256724372585,1.7288590272267659,0.15302200339539562,32,10,rmsprop,"{'batch_size': 32, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9463333333333334,0.9506666666666667,0.9529843281093698,0.9499947760364567,0.0027565087389593824,2,0.9966661110185031,0.994665777629605,0.9973333333333333,0.9962217406604804,0.0011334496370050415
28.593389908472698,2.0899124763736747,2.34967573483785,0.5773975261737212,64,5,adam,"{'batch_size': 64, 'epochs': 5, 'optimizer': 'adam'}",0.938,0.9373333333333334,0.9399799933311104,0.9384377755548146,0.0011239625922758577,10,0.977329554925821,0.969828304717453,0.978,0.9750526198810913,0.00370427463399956
28.59164333343506,2.652586562703346,2.3213253815968833,0.5369031977963218,64,5,rmsprop,"{'batch_size': 64, 'epochs': 5, 'optimizer': 'rmsprop'}",0.942,0.9433333333333334,0.9479826608869624,0.9444386647400985,0.002564420137338868,8,0.9789964994165694,0.9733288881480247,0.9763333333333334,0.9762195736326426,0.0023151904637214115
50.91692042350769,2.262543237855624,2.10809334119161,0.9188989542056404,64,10,adam,"{'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}",0.9456666666666667,0.9523333333333334,0.9489829943314438,0.9489943314438146,0.00272166707597861,4,0.9959993332222037,0.9921653608934823,0.9905,0.9928882313718953,0.0023025453696042565
45.334771951039635,3.3683446428031294,1.2293541431427002,0.27553644538226907,64,10,rmsprop,"{'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9433333333333334,0.954,0.9519839946648883,0.9497724426660739,0.00462692598651553,3,0.9943323887314552,0.993498916486081,0.9941666666666666,0.993999323961401,0.0003602514693067545
22.514216423034668,2.7157037587624777,1.6913927396138508,0.008138285044482675,128,5,adam,"{'batch_size': 128, 'epochs': 5, 'optimizer': 'adam'}",0.9273333333333333,0.938,0.930643547849283,0.9319922937275388,0.0044578605501987886,12,0.9611601933655609,0.9614935822637106,0.9596666666666667,0.9607734807653127,0.0007943824125586059
21.92577862739563,0.696151656820445,1.7004995346069336,0.06446243848887193,128,5,rmsprop,"{'batch_size': 128, 'epochs': 5, 'optimizer': 'rmsprop'}",0.9323333333333333,0.936,0.9389796598866289,0.9357709977399874,0.002718179009260742,11,0.9658276379396566,0.9586597766294382,0.9603333333333334,0.9616069159674762,0.0030617063309124315
27.35243797302246,1.199981225966721,1.2618509928385417,0.419414454239278,128,10,adam,"{'batch_size': 128, 'epochs': 10, 'optimizer': 'adam'}",0.9453333333333334,0.9483333333333334,0.94864954984995,0.9474387388388723,0.0014943331798074888,6,0.9889981663610602,0.9866644440740123,0.9888333333333333,0.9881653145894687,0.001063407012039427
26.123828172683716,1.2294656924043807,0.4824976921081543,0.07622879497463357,128,10,rmsprop,"{'batch_size': 128, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9436666666666667,0.9496666666666667,0.9523174391463821,0.9485502574932384,0.003618815939487809,5,0.9898316386064344,0.9854975829304884,0.9885,0.9879430738456411,0.0018126655706641708
