mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
12.931921164194742,2.3011917749239488,0.1774593989054362,0.016711657191394544,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9393333333333334,0.942,0.9479826608869624,0.9431053314067652,0.003616539314646697,9,1.0,1.0,1.0,1.0,0.0
21.610808928807575,1.3911573971391988,0.3769365151723226,0.15468863656077886,,2,75,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 75}",0.9423333333333334,0.9446666666666667,0.9496498832944315,0.9455499610981438,0.003051571466509244,5,1.0,1.0,1.0,1.0,0.0
23.825751781463623,2.5686941513393626,0.4498014450073242,0.18650488003803767,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9436666666666667,0.9443333333333334,0.9529843281093698,0.9469947760364565,0.004243988818451766,3,1.0,1.0,1.0,1.0,0.0
14.31963030497233,0.9507650175016619,0.20138676961263022,0.026248594296425783,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9403333333333334,0.9396666666666667,0.9489829943314438,0.9429943314438146,0.0042433613639316515,13,0.9993332222037006,1.0,0.9996666666666667,0.9996666296234556,0.0002722108967187368
19.835116465886433,1.9241773945172793,0.2268392244974772,0.05022931638930812,,5,75,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 75}",0.946,0.9426666666666667,0.9479826608869624,0.9455497758512097,0.0021934713698716357,7,0.9998333055509252,1.0,0.9998333333333334,0.9998888796280863,7.857396932684584e-05
25.07780893643697,1.0348948353150607,0.516097625096639,0.22008287128313922,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9463333333333334,0.945,0.9506502167389129,0.9473278500240822,0.0024115050466885367,1,0.9996666111018503,1.0,1.0,0.9998888703672835,0.00015716103376931472
10.570828914642334,1.2863017409170852,0.30880236625671387,0.07974332062589684,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9376666666666666,0.9356666666666666,0.9429809936645549,0.9387714423326293,0.0030865559892418203,22,0.997832972162027,0.9973328888148024,0.997,0.9973886203256098,0.0003423352709948336
21.1454762617747,1.8001886397189186,0.2583889961242676,0.034858041273909894,,10,75,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 75}",0.9436666666666667,0.938,0.9476492164054685,0.9431052943573784,0.003959225384012859,11,0.9979996666111018,0.9979996666111018,0.9973333333333333,0.9977775555185123,0.0003141125194936004
24.06201712290446,1.3579400578178447,0.40047399202982586,0.17298041923916793,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9406666666666667,0.938,0.9499833277759253,0.9428833314808639,0.005137135279523756,15,0.9984997499583264,0.9983330555092516,0.9978333333333333,0.9982220462669704,0.0002831608122847517
14.128144025802612,0.6283788534492828,0.15913120905558267,0.007677702012926106,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9363333333333334,0.9326666666666666,0.946648882960987,0.9385496276536623,0.005919434855402532,24,0.9968328054675779,0.9976662777129521,0.9971666666666666,0.9972219166157322,0.0003424990643355582
19.308484315872192,1.9896447128795123,0.24234445889790854,0.03390576978067623,10,2,75,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 75}",0.9423333333333334,0.935,0.946648882960987,0.9413274054314402,0.004808536628923514,18,0.9976662777129521,0.997832972162027,0.9971666666666666,0.9975553055138819,0.0002831099609830332
25.368733882904053,1.3244251511219065,0.6332898139953613,0.13702931596162768,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9416666666666667,0.9356666666666666,0.946648882960987,0.9413274054314401,0.004489884358058282,19,0.9974995832638773,0.9979996666111018,0.9973333333333333,0.9976108610694374,0.0002831808277092665
12.061423619588217,2.453292461718306,0.16663376490275064,0.029540824142875937,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9403333333333334,0.931,0.9456485495165055,0.9389939609499462,0.006054774398242138,21,0.995665944324054,0.995665944324054,0.9956666666666667,0.9956661851049248,3.405155731983464e-07
17.245716015497845,1.8533540464581268,0.34639986356099445,0.17276740839756588,10,5,75,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 75}",0.9396666666666667,0.9343333333333333,0.9473157719239746,0.940438590641325,0.0053280908342439905,20,0.9959993332222037,0.995665944324054,0.9955,0.995721759182086,0.0002076373288242579
24.045992374420166,4.197224074320868,0.4280415376027425,0.15531674931531259,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.94,0.9363333333333334,0.9496498832944315,0.9419944055425882,0.005616396580123573,17,0.9961660276712786,0.9954992498749792,0.9956666666666667,0.9957773147376415,0.00028323182979944227
13.107732852300009,2.115365801655437,0.18633079528808594,0.06328200840625665,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.932,0.9326666666666666,0.9366455485161721,0.9337707383942796,0.002050936540349761,27,0.9913318886481081,0.9924987497916319,0.9908333333333333,0.9915546572576911,0.0006979123082234056
