mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
317.1708122889201,36.27283700866315,25.17698343594869,2.0544250581074377,32,5,adam,"{'batch_size': 32, 'epochs': 5, 'optimizer': 'adam'}",0.965,0.971,0.9736578859619873,0.9698859619873291,0.003621285025415812,7,0.977329554925821,0.9828304717452909,0.9823333333333333,0.9808311200014818,0.0024842846233173164
313.6512378851573,18.580229336579727,25.45962651570638,3.708016988422114,32,5,rmsprop,"{'batch_size': 32, 'epochs': 5, 'optimizer': 'rmsprop'}",0.9696666666666667,0.9676666666666667,0.9696565521840613,0.9689966285057983,0.0009404341004200231,8,0.9799966661110185,0.9834972495415902,0.98,0.9811646385508697,0.0016494056109655597
479.3318575223287,8.769816545512947,23.515122493108112,0.8443619913099099,32,10,adam,"{'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}",0.9786666666666667,0.9783333333333334,0.9823274424808269,0.9797758141602757,0.0018093982595432493,1,0.9924987497916319,0.9951658609768295,0.9916666666666667,0.9931104258117093,0.001492581850401562
476.2874077161153,19.81124386981607,25.36734215418498,1.7511736136559912,32,10,rmsprop,"{'batch_size': 32, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9756666666666667,0.9813333333333333,0.9816605535178393,0.9795535178392797,0.0027516634109594853,2,0.9949991665277547,0.99449908318053,0.9923333333333333,0.9939438610138728,0.0011569702951762996
266.0258031686147,11.176282557584358,24.924697637557983,3.608267410331092,64,5,adam,"{'batch_size': 64, 'epochs': 5, 'optimizer': 'adam'}",0.964,0.967,0.9673224408136045,0.9661074802712015,0.0014960162297910212,9,0.9774962493748958,0.9793298883147191,0.974,0.9769420458965383,0.0022109249170746866
243.31811968485513,15.886342414719707,31.11697204907735,4.610775652038137,64,5,rmsprop,"{'batch_size': 64, 'epochs': 5, 'optimizer': 'rmsprop'}",0.9636666666666667,0.9626666666666667,0.9696565521840613,0.9653299618391316,0.0030864799809955713,10,0.9759959993332222,0.9741623603933989,0.9741666666666666,0.9747750087977626,0.0008633724772691886
468.650759935379,11.307056300069766,22.284085671106975,2.5022120389888407,64,10,adam,"{'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}",0.978,0.973,0.9779926642214072,0.9763308880738024,0.0023552954483547924,4,0.9901650275045841,0.9883313885647608,0.9885,0.9889988053564484,0.000827511541963915
466.31739290555316,15.83302886577582,13.357639948527018,1.3455111219852254,64,10,rmsprop,"{'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9803333333333333,0.9753333333333334,0.980326775591864,0.9786644807528435,0.002355478450884974,3,0.9899983330555092,0.9918319719953326,0.9875,0.9897767683502806,0.00177544614694234
264.170782883962,8.301994704365715,19.029337565104168,4.748333870621756,128,5,adam,"{'batch_size': 128, 'epochs': 5, 'optimizer': 'adam'}",0.9576666666666667,0.9576666666666667,0.9593197732577526,0.9582177021970287,0.0007792819203873792,12,0.9674945824304051,0.9679946657776296,0.968,0.9678297494026782,0.0002370088436593693
268.5047388076782,7.913870741336053,18.15908408164978,4.463512820193063,128,5,rmsprop,"{'batch_size': 128, 'epochs': 5, 'optimizer': 'rmsprop'}",0.9593333333333334,0.9596666666666667,0.9639879959986662,0.9609959986662221,0.002120033616996432,11,0.9703283880646775,0.9663277212868812,0.9673333333333334,0.967996480894964,0.0016992463394327236
352.0806511243184,22.99996112652402,9.45989473660787,3.9642891935678044,128,10,adam,"{'batch_size': 128, 'epochs': 10, 'optimizer': 'adam'}",0.9756666666666667,0.973,0.9746582194064688,0.9744416286910451,0.001099382078346324,5,0.9851641940323387,0.9829971661943657,0.9835,0.983887120075568,0.000926066548119277
316.75304285685223,2.4973103927824165,2.4598005612691245,1.31623678932033,128,10,rmsprop,"{'batch_size': 128, 'epochs': 10, 'optimizer': 'rmsprop'}",0.9716666666666667,0.9716666666666667,0.9716572190730244,0.9716635174687859,4.453638353575767e-06,6,0.9854975829304884,0.9823303883980663,0.9825,0.9834426571095182,0.0014547009133942296
